cell_type
type II pneumocyte
"CD8-positive, alpha-beta T cell"
epithelial cell of lung
classical monocyte
malignant cell
natural killer cell
macrophage
club cell
endothelial cell of lymphatic vessel
"CD4-positive, alpha-beta T cell"
alveolar macrophage
neutrophil
mast cell
non-classical monocyte
plasmacytoid dendritic cell
smooth muscle cell
B cell
CD1c-positive myeloid dendritic cell
capillary endothelial cell
pulmonary artery endothelial cell
vein endothelial cell
regulatory T cell
plasma cell
type I pneumocyte
fibroblast of lung
multi-ciliated epithelial cell
myeloid cell
pericyte
bronchus fibroblast of lung
conventional dendritic cell
dendritic cell
mesothelial cell
stromal cell
